season,round,position,positionText,points,wins,Constructor_constructorId,Constructor_url,Constructor_name,Constructor_nationality
2017,20,7,7,53,0,toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2017,20,8,8,47,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2017,20,9,9,30,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2017,20,10,10,5,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2018,21,1,1,655,11,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2018,21,2,2,571,6,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2018,21,3,3,419,4,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2018,21,4,4,122,0,renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2018,21,5,5,111,0,force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2018,21,6,6,93,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2018,21,7,7,62,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2018,21,8,8,48,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2018,21,9,9,33,0,toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2018,21,10,10,7,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2019,21,1,1,739,15,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2019,21,2,2,504,3,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2019,21,3,3,417,3,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2019,21,4,4,145,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2019,21,5,5,91,0,renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2019,21,6,6,85,0,toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2019,21,7,7,73,0,racing_point,https://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
2019,21,8,8,57,0,alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2019,21,9,9,28,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2019,21,10,10,1,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2020,17,1,1,573,13,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2020,17,2,2,319,2,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2020,17,3,3,202,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2020,17,4,4,195,1,racing_point,https://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
2020,17,5,5,181,0,renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2020,17,6,6,131,0,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2020,17,7,7,107,1,alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2020,17,8,8,8,0,alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2020,17,9,9,3,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2020,17,10,10,0,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2021,22,1,1,613.5,9,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2021,22,2,2,585.5,11,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2021,22,3,3,323.5,0,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2021,22,4,4,275,1,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2021,22,5,5,155,1,alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
2021,22,6,6,142,0,alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2021,22,7,7,77,0,aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2021,22,8,8,23,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2021,22,9,9,13,0,alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2021,22,10,10,0,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2022,22,1,1,759,17,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2022,22,2,2,554,4,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2022,22,3,3,515,1,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2022,22,4,4,173,0,alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
2022,22,5,5,159,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2022,22,6,6,55,0,alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2022,22,7,7,55,0,aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2022,22,8,8,37,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2022,22,9,9,35,0,alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2022,22,10,10,8,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2023,22,1,1,860,21,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2023,22,2,2,409,0,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2023,22,3,3,406,1,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2023,22,4,4,302,0,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2023,22,5,5,280,0,aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2023,22,6,6,120,0,alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
2023,22,7,7,28,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2023,22,8,8,25,0,alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2023,22,9,9,16,0,alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2023,22,10,10,12,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2024,24,1,1,666,6,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2024,24,2,2,652,5,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2024,24,3,3,589,9,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2024,24,4,4,468,4,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2024,24,5,5,94,0,aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2024,24,6,6,65,0,alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
2024,24,7,7,58,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2024,24,8,8,46,0,rb,https://en.wikipedia.org/wiki/Racing_Bulls,RB F1 Team,Italian
2024,24,9,9,17,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2024,24,10,10,4,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2025,24,1,1,833,14,mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
2025,24,2,2,469,2,mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2025,24,3,3,451,8,red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2025,24,4,4,398,0,ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2025,24,5,5,137,0,williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
2025,24,6,6,92,0,rb,https://en.wikipedia.org/wiki/Racing_Bulls,RB F1 Team,Italian
2025,24,7,7,89,0,aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2025,24,8,8,79,0,haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2025,24,9,9,70,0,sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
2025,24,10,10,22,0,alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
